Study_ID,DOI,Journal,Publication_Year,Study_Design,First_Author_Affiliation_Country,Study_Data_Geography,Population,Cases_N,Controls_N,Total_N,Comparator,Clinical_Task,Cancer,Reference_Standard,Data_Family,Omics_Layer,Specimen,Platform,Raw_Features,Final_Features,SVM_Role,SVM_Kernel,SVM_Hyperparameters,Feature_Selection,Feature_Selection_Timing,Other_Models,Training_N,Internal_Validation_N,External_Validation_N,Validation_Method,Validation_Category,Split_Independence,Reported_Key_SVM_Performance,Best_Model,SVM_vs_Others,Calibration,Decision_Curve_or_Utility,Leakage_Overfitting_Concerns,Demographics_or_Fairness,Clinical_Comparator,Deployment_Status,Data_or_Code_Availability,Study_Notes,Evidence_Locations
S013,10.1266/ggs.21-00072,Genes & Genetic Systems,2022,Secondary public-dataset analysis with small serum protein study,China,China,GSE110224: 17 CRC/17 normal tissues; protein array: 12 CRC/12 healthy sera,29,29,58,Normal tissue and healthy serum,Diagnostic and prognostic,Colorectal cancer,Dataset labels and clinical CRC diagnosis; exact blinding NR,Molecular omics,"Transcriptomics and proteomics, analyzed separately",Tissue gene expression and serum,GPL570 microarray; Human Cytokine Array C1000,Genome-wide genes; 120 proteins,1,Primary final classifier,NR,NR,Differential-expression filtering and overlap to CCL26,Performed on complete datasets before SVM performance assessment,None reported,NR,NA,0,No resampling or independent validation reported,No validation,Same data used for marker selection and apparent performance,AUC=0.878 in GEO data; AUC=0.743 in protein data,SVM using CCL26,SVM was not compared with alternatives,No,No,Severe resubstitution/selection bias; very small samples; mixed diagnostic/prognostic analyses,Demographics NR; fairness not assessed,None,Exploratory model development only,GEO accession reported; code NR,Use in descriptive synthesis but not as validated performance.,Methods/Results PDF pp.2-6
S014,10.1080/15384101.2021.1903208,Cell Cycle,2021,Two-stage case-control biomarker study with pooled internal split,China,China,Initial 12 CRC/12 healthy plus verification 34 CRC/34 healthy,46,46,92,Healthy controls,Diagnostic and prognostic,Colorectal cancer,Clinical/pathologic CRC diagnosis; exact blinding NR,Molecular omics,Proteomics,Serum,Human Cytokine Array C1000,120,6,Primary final classifier,Sigmoid,Default e1071 parameters,Differential-protein screening and selection of six proteins,Likely performed before pooled 7:3 train-test split,None reported,65,27,0,Ten-fold CV plus random 7:3 same-cohort test split,Internal only,Same pooled cohorts; no independent center,AUC=0.933,Six-protein sigmoid SVM,No alternative classifier comparison,No,No,Probable feature-selection leakage; small same-center sample; no external validation,Demographics limited; fairness not assessed,None,Internal validation only,R/e1071 reported; data/code NR,Separate diagnostic SVM results from prognostic biomarker analyses.,Methods PDF pp.2-4; Results PDF pp.5-7
S015,10.3324/haematol.2019.226647,Haematologica,2020,Retrospective multicenter molecular subtype-classification study,France,France/European multicenter cohorts,230 PTCL classification samples plus 40 FFPE specimens for three-laboratory reproducibility,270,0,270,Different lymphoma subtypes,Cancer subtype classification,Peripheral T-cell lymphoma,Expert histopathology/WHO classification with molecular characterization,Molecular omics,Transcriptomics,Frozen and FFPE lymphoma tissue,Targeted RT-MLPA,41 probes covering 20 genes and selected EBV/RHOA/IDH2 markers,20-marker signature,Primary final classifier,NR,NR,Unsupervised hierarchical clustering defined six molecular classes,Class definition and model construction used the same 184 specified PTCL cases,Hierarchical clustering,184,NR,0,100 repeated two-thirds/one-third series; 40 same specimens tested in three laboratories,Internal only,Repeated sample-level validation; inter-lab test used identical specimens,Accuracy=140/153=0.915 for specified PTCL; inter-lab concordance=36/40=0.90,Targeted RT-MLPA SVM classifier,No alternative supervised classifier comparison,No,No,Potential circularity from deriving classes and fitting classifier in same cohort; no independent patient cohort,Clinical/demographic subgroup fairness not reported,Expert histopathology and immunophenotyping,Analytical reproducibility evaluation,Public RT-MLPA web interface reported,Do not count laboratory reproducibility as external clinical validation.,Methods PDF pp.2-3; Results PDF pp.6-8
S016,10.1186/1746-1596-7-45,Diagnostic Pathology,2012,Single-center case-control peptidomics study,China,China,74 breast cancer cases and 72 healthy volunteers,74,72,146,Healthy controls,Cancer detection,Breast cancer,Clinical breast-cancer diagnosis; details limited,Molecular omics,Proteomics,Serum,IMAC magnetic beads and MALDI-TOF-MS,Approximately 70 common peaks; 24 significant peaks,3,Primary final classifier,NR,NR,ClinProt peak filtering and SVM pattern selection,Performed in model-construction group; exact nesting within CV unclear,None reported,73,73,0,Cross-validation in development and blinded random held-out test,Internal only,Both groups randomly split from the same source cohort,Held-out accuracy=0.9178; sensitivity=0.9189; specificity=0.9167,Three-peak SVM,SVM outperformed CA15-3 in the same held-out group,No,No,Author-termed external group is internal; small case-control cohort; no independent site,Age/stage described; fairness not assessed,CA15-3,Internal test only,ClinProt software; data/code NR,Reclassify the claimed external evaluation as internal validation.,Methods PDF pp.2-4; Results/Table 2 PDF pp.4-6
S017,10.1007/s00432-010-0775-1,Journal of Cancer Research and Clinical Oncology,2010,Single-center case-control proteomics study with blind internal test,China,China,124 breast cancer cases; 98 benign breast disease; 60 healthy controls,124,158,282,Healthy and benign controls,Cancer detection,Breast cancer,Pathology independently confirmed by two pathologists,Molecular omics,Proteomics,Serum,SELDI-TOF-MS; LC-MS/MS for identification,SELDI peak profiles,3,Primary final classifier,RBF,gamma=0.6; cost=19,Peak filtering and random marker combinations maximizing Youden index,Feature selection performed in training set,None reported,120,162,0,LOOCV in training plus same-center blind held-out test,Internal only,Participant-level random split from one center,Blind-test AUC=0.972; sensitivity=0.9645; specificity=0.9487; PPV=0.960,Three-protein RBF SVM,No alternative classifier comparison,No,No,"Case-control spectrum and no independent external validation, although selection was training-only",All female; age/stage described; no subgroup fairness metrics,None,Internal test only,ProteinChip software; data/code NR,Blind test is not external validation.,Methods PDF pp.2-3; Results PDF pp.6-7
S018,10.3390/cancers15041166,Cancers,2023,Multicenter case-control development and validation study,Germany,Spain and Austria,Cordoba discovery n=413; Cordoba first validation n=410; Innsbruck second validation n=147,424,546,970,Biopsy-negative non-PCa etiologies,Cancer detection,Prostate cancer,TRUS-guided biopsy histopathology,Molecular omics,Proteomics,Urine before biopsy without DRE/prostate massage,CE-MS,Urinary peptide profiles,181,Primary final classifier,SVM/MosaCluster,C=16; gamma=0.01,"Wilcoxon testing, frequency threshold, BH correction, and progression correlation",Performed in discovery cohort,"Diagnostic nomograms with PSA, PSAD, age, and ERSPC",413,410,147,Cross-validation; random same-center validation; independent second-center sensitivity validation,Internal and external,Discovery/first validation random split; second center independent but contained only cases,"First validation AUC=0.81 (0.77-0.85), sensitivity=0.93, specificity=0.69; external-site sensitivity=0.837",Clinical+proteomic nomogram AUC about 0.85-0.86,SVM outperformed PSA/PSAD/ERSPC; nomogram modestly improved AUC,No,Decision-curve analysis showed net benefit at lower thresholds,External site lacked controls; first validation was same-center random split; proprietary model,Clinical characteristics reported; no demographic fairness analysis,PSA; PSA density; ERSPC risk calculator,External validation and analytical reproducibility,Normalized proteomics and clinical data at Zenodo DOI 10.5281/zenodo.7583241; proprietary MosaCluster,External evidence supports sensitivity only; do not call external AUC/specificity.,Methods PDF pp.5-7; Results PDF pp.8-12; Data statement PDF p.19
S019,10.1007/s00345-022-04077-1,World Journal of Urology,2022,Retrospective independent validation of a locked urinary biomarker model,Germany,Austria,147 biopsy-confirmed PCa patients: 48 clinically significant and 99 insignificant,48,99,147,Clinically insignificant PCa,Cancer stage classification,Prostate cancer,TRUS-guided biopsy histopathology and Gleason score,Molecular omics,Proteomics,Urine before biopsy without DRE,CE-MS,19,19,Primary final classifier,SVM/MosaCluster,Predefined cutoff -0.07; model parameters inherited from prior study,Predefined 19-peptide panel,Locked before this validation cohort,"Diagnostic nomograms with PSA, PSAD, age, and ERSPC",NA,NA,147,Independent external validation of the prior 19-BM,External only,Independent Innsbruck cohort relative to prior model development,AUC=0.803 (0.73-0.86); sensitivity=0.875; specificity=0.646; NPV=0.918; PPV=0.550,All-variable nomogram AUC=0.88; 19-BM alone AUC about 0.80-0.82 in subsets,Nomograms had slightly higher AUC; differences versus 19-BM were mostly not significant,No,Decision-curve analysis reported,All participants already had PCa; retrospective cohort; subtype/risk task rather than cancer detection,Age and risk groups reported; no fairness analysis,PSA; PSA density; ERSPC,External validation of locked model,MosaCluster score software; raw data/code availability NR,Do not pool with cancer-vs-non-cancer detection studies.,Methods PDF pp.2-3; Results PDF pp.3-7
S020,10.1080/13547500802012858,Biomarkers,2008,Single-center case-control metabolomics study,Germany,Germany,113 female breast cancer cases and 99 healthy female controls,113,99,212,Healthy controls,Cancer detection,Breast cancer,Clinical breast-cancer diagnosis; exact reference standard NR,Molecular omics,Metabolomics,Urine,Affinity extraction plus LC-ion-trap MS,37,31,Primary final classifier,RBF,Exact C/gamma NR; all tuning performed within each LOO training set,SVM-RFE; 11 features repeatedly selected,"Scaling, tuning, and RFE performed within each LOO training fold",PCA visualization/comparison,NA,NA,0,Nested leave-one-out cross-validation,Internal only,Each participant left out once; no external cohort,"31-feature sensitivity=0.8767, specificity=0.8990; nested-RFE sensitivity=0.8939, specificity=0.8889",RBF SVM; full and RFE versions comparable,No supervised alternative model comparison,No,No,No external validation; case-control spectrum and age-range differences; otherwise good nesting practices,All female; age ranges differed; no subgroup fairness analysis,CA15-3 benchmark from literature,Internal validation only,MATLAB and LIBSVM reported; data/code NR,"Correct prior classification: metabolomics single-omics, not multi-omics.",Methods PDF pp.4-8; Results PDF pp.9-13
S021,10.1038/srep16351,Scientific Reports,2015,Case-control serum metabolomics model-development study,United States,United States and Canada,46 stage I/II serous epithelial ovarian cancer patients and 49 age-matched healthy controls,46,49,95,Healthy controls,Early detection or screening,Early-stage ovarian cancer,Histopathologic/clinical diagnosis; exact blinding NR,Molecular omics,Metabolomics,Serum,UPLC-high-resolution mass spectrometry,255,16,Primary final classifier,Linear,liblinearSVM; other parameters NR,SVM-RFE from 255 filtered features to 16 metabolites,Feature ranking repeated within inner LOOCV; autoscaling described before SVM-RFE and may have used all samples,oPLS-DA after SVM selection,94,NA,0,Nested leave-one-out cross-validation,Internal only,One participant omitted per fold; no external cohort,Accuracy=1.00; sensitivity=1.00; specificity=1.00 for 16-metabolite panel under LOOCV,16-metabolite linear SVM,No fair alternative classifier comparison,No,No,Perfect performance; small sample; no external validation; possible scaling leakage; high feature-to-sample ratio,All participants reported as Caucasian; authors noted need for greater racial/ethnic diversity,None,Internal validation only,Supplementary metabolite tables reported; in-house/liblinear code not publicly deposited,Use in sensitivity analysis excluding perfect-performance studies.,Abstract/Results PDF pp.1-2; Methods PDF pp.4-5
S023,10.18632/oncotarget.22601,Oncotarget,2017,Prospective multicenter diagnostic study using FNAB material,Germany,Germany and Italy,"113 prospectively collected FNAB samples: 41 PDAC, 33 chronic pancreatitis, and 39 other pancreatico-biliary tumors",80,33,113,Chronic pancreatitis and other benign pancreatic masses,Differential diagnosis,PDAC and other pancreatico-biliary malignancies,Histopathology of resected tissue,Molecular omics,Transcriptomics; mRNA and miRNA,Fine-needle aspiration biopsy,Custom microfluidic TaqMan array card,88,77,Primary final classifier,Linear,Cost=1,TNoMcw marker ranking,Marker ranking and classifier fitting repeated inside each training fold,miRNA-only SVM,74,NA,0,Repeated 10 x 10-fold cross-validation,Internal only,Patient-level internal resampling; no external cohort,Accuracy=0.930; sensitivity=0.917; specificity=0.945 for PDAC vs chronic pancreatitis,Combined 77-marker mRNA/miRNA linear SVM,Combined model outperformed miRNA-only SVM,No,No,No external validation; selected surgical/suspected-mass spectrum; otherwise feature selection was properly nested,Demographic detail limited; no fairness analysis,Histopathology and clinical workup,Internal validation only,Assay design and marker lists reported; code/data NR,"Under a strict definition, mRNA and miRNA are both transcriptomic layers; flag multi-omics classification as convention-dependent.",Abstract PDF p.1; Results PDF pp.4-7; Methods PDF pp.12-13
S025,NR,Technology in Cancer Research & Treatment,2006,Secondary analysis of public serum proteomic case-control datasets,United States,United States,Ovarian dataset: 162 cancer and 91 controls; prostate dataset: 69 cancer and 63 controls,231,154,385,Non-cancer controls,Early detection or screening,Ovarian and prostate cancer,Public dataset labels; original clinical standards NR,Molecular omics,Proteomics,Serum,SELDI-TOF mass spectrometry,15154,15154,Primary final classifier,Linear; polynomial; radial,SVMLight 3.5; exact parameters NR,MIT correlation/signal-to-noise feature ranking and varying feature subsets,Timing relative to CV unclear; best models used all features,None reported,NA,NA,0,Stratified 10-fold cross-validation,Internal only,Sample-level folds within each public dataset; no external cohort,"Ovarian linear SVM accuracy=0.97, sensitivity=0.99, specificity=0.92; prostate polynomial SVM accuracy=0.82, sensitivity=0.79, specificity=0.87",Linear SVM for ovarian; polynomial SVM for prostate,Kernel comparison only,No,No,No external validation; very high dimensionality; preprocessing and feature-ranking nesting unclear,Demographics NR; no fairness analysis,None,Internal validation only,Public Clinical Proteomic Program datasets; SVMLight reported; code NR,Use only validation-level performance; do not treat kernel comparisons as external evidence.,Methods/Results PDF pp.2-4
S027,10.1021/acs.jproteome.0c00663,Journal of Proteome Research,2021,Two-institution case-control serum lipidomics study with internal held-out testing,Argentina,Argentina,112 ccRCC and 52 healthy controls in main task; 16 chromophobe and 8 papillary RCC used for exploratory subtype assessment,112,52,188,Healthy controls,Early detection or screening; stage classification,Clear cell renal cell carcinoma,Histopathology for RCC; healthy-control definition reported clinically,Molecular omics,Lipidomics,Serum,UPLC-QTOF mass spectrometry,386,16,Primary final classifier,Nonlinear; exact kernel in supplement/NR in main text,Parameters NR in main text,Coupled LASSO and SVM feature selection,Training-only selection with separate tuning-validation; final test remained untouched,LASSO-coupled models,80,84,0,"Training n=80, tuning validation n=14, held-out same-cohort test n=70",Internal only,Same overall cohort; participant-level separation but not institutionally external,"Test AUC=0.90, accuracy=0.771, sensitivity=0.75, specificity=1.00 for 16-lipid panel",16-lipid SVM; 7-lipid panel test AUC=0.82,No direct alternative classifier comparison,No,No,No true external validation; case-control design; stage test contained only stage-I cases; performance drop from training to test,Age/sex and clinical stage reported; no fairness subgroup performance,None,Internal held-out testing only,Supplementary methods/data reported; code availability NR,"Reclassify authors’ independent test as internal, not external.",Abstract PDF pp.1-2; Methods/Results PDF pp.4-8; supplementary references pp.11-12
S028,10.3390/genes14101836,Genes,2023,Secondary analysis of TCGA and GEO transcriptomic datasets with multiple classifiers,India,Public TCGA and GEO datasets,TCGA-CRC: 644 tumors/51 normals; GSE50760: 36 tumors/18 normals; GSE142279: 20 tumors/20 normals,700,89,789,Normal colorectal tissue,Early detection or screening,Colorectal cancer,Public dataset labels; original pathology standards NR,Molecular omics,Transcriptomics,Colorectal tissue data,RNA-seq and microarray datasets,23187 and 35238 before filtering,3,One of several final classifiers,NR,NR,Filtering; SMOTE; LASSO; intersection of signatures,SMOTE/LASSO appear to precede a clearly documented independent split,Random forest; logistic regression; naive Bayes; AdaBoost; LASSO,NR,NR,40,SVM results in TCGA/GSE50760; GSE142279 external evaluation performed with random forest,No validation,No clear SVM holdout; external dataset does not validate SVM,TCGA SVM accuracy=1.00; GSE50760 SVM accuracy=0.934; validation level unclear/apparent,Random forest achieved 1.00 accuracy in GSE142279,Alternative external model performed better/was the only externally evaluated model,No,No,Likely preprocessing/SMOTE/selection leakage; perfect SVM accuracy; no independent SVM validation,Demographics NR; no fairness analysis,None,Retrospective model development only for SVM,TCGA and GEO accessions reported; code NR,External gene/RF results must not be assigned to SVM.,Methods PDF pp.2-3; Results PDF pp.5-6; Discussion PDF pp.12-14
S029,10.1093/bioinformatics/btp558,Bioinformatics,2009,Case-control urinary metabolomics classifier informed by public tissue transcriptomics,South Korea,Korea; public tissue datasets,50 breast cancer patients and 50 healthy women; public tissue datasets used only for pathway discovery,50,50,100,Healthy controls,Early detection or screening,Breast cancer,Clinical diagnosis; exact pathology/blinding NR,Molecular omics,Metabolomics in final model; transcriptomics used upstream,Urine; public breast tissue data,Urinary GC-MS and tissue microarrays,Candidate metabolites from altered pathways,4,One of several final classifiers,NR,NR,Transcriptomic pathway analysis; metabolite filtering; four-marker selection,Candidate/feature selection appears to use the full cohort before repeated splitting,Linear discriminant analysis; random forest,80,20,0,1000 repeated 80:20 train-test splits with five-fold CV in training,Internal only,Participant-level repeated splits from the same cohort,"SVM test AUC=0.79; approximate accuracy=0.70, sensitivity=0.80, specificity=0.60",SVM and random forest both AUC=0.79,SVM was comparable with random forest,No,No,Potential feature-selection leakage; no external cohort; modest sample size,All participants female; other demographic/fairness analysis NR,None,Internal validation only,Public GEO datasets; urine data/code availability NR,"Final predictive model is metabolomics-only; label as sequential cross-omics discovery, not integrated multi-omics prediction.",Methods PDF pp.2-4; Results/Figure 4 PDF pp.4-5
S030,10.1007/s00408-008-9093-7,Lung,2008,Small single-center serum proteomics case-control study,China,China,8 NSCLC cases and 8 healthy controls,8,8,16,Healthy controls,Cancer detection,Non-small-cell lung cancer,Clinical/pathologic diagnosis; details NR,Molecular omics,Proteomics,Serum,Label-free 1D-LC-MS/MS with LTQ ion-trap,931,208,Primary final classifier,NR,NR,Proteins shared across all samples used by SVM; differential-expression filtering used separately for exploratory analyses,Global preprocessing and feature definition before CV likely,Hierarchical clustering; PCA,NA,NA,0,Ten-operation/ten-fold cross-validation; wording about split unit is ambiguous,Internal only,No external cohort; repeated-sample independence unclear from wording,Accuracy=0.9375; sensitivity=0.875; specificity=1.00,SVM with 208 shared proteins,No alternative classifier comparison,No,No,Extremely small sample; likely global preprocessing; no external validation; CV description unclear,Demographics NR; no fairness analysis,None,Internal validation only,Protein list reported; data/code NR,Use in sensitivity analysis excluding studies with fewer than 20 participants.,Methods/Results PDF pp.1-4
