Study_ID,Cancer_or_Task,SVM_Model,Reported_Metric,Reported_Value,Reported_Confidence_Interval,Dataset_or_Cohort,Dataset_Level,Validation_Category,Evidence_Location,Notes
S015,Peripheral T-cell lymphoma subtype classification,SVM molecular classifier,Accuracy,0.915,NR,153 specified PTCL cases,Internal/model fit,Internal only,"Results, PDF pp.6-7",140 of 153 assigned to the corresponding molecular class.
S015,Inter-laboratory reproducibility,SVM molecular classifier,Concordance,0.9,NR,40 identical FFPE specimens tested at three laboratories,Analytical reproducibility,Internal only,"Results, PDF pp.7-8",Same specimens across laboratories; not external patient validation.
S016,Breast cancer vs healthy controls,Three-peak SVM,Cross-validated accuracy,0.9178,NR,Model-construction group n=73,Internal validation,Internal only,"Results, PDF pp.4-5",
S016,Breast cancer vs healthy controls,Three-peak SVM,Sensitivity,0.9459,NR,Model-construction group n=73,Development/internal,Internal only,"Table 2, PDF p.5",
S016,Breast cancer vs healthy controls,Three-peak SVM,Specificity,0.8889,NR,Model-construction group n=73,Development/internal,Internal only,"Table 2, PDF p.5",
S016,Breast cancer vs healthy controls,Three-peak SVM,Accuracy,0.9178,NR,Blind held-out group n=73,Internal test,Internal only,"Table 2, PDF p.5",67/73 correctly classified.
S016,Breast cancer vs healthy controls,Three-peak SVM,Sensitivity,0.9189,NR,Blind held-out group n=73,Internal test,Internal only,"Table 2, PDF p.5",34/37.
S016,Breast cancer vs healthy controls,Three-peak SVM,Specificity,0.9167,NR,Blind held-out group n=73,Internal test,Internal only,"Table 2, PDF p.5",33/36.
S017,Breast cancer vs healthy/benign controls,RBF SVM,Sensitivity,0.97,NR,Training set LOOCV n=120,Internal validation,Internal only,"Results, PDF p.6",
S017,Breast cancer vs healthy/benign controls,RBF SVM,Specificity,0.96,NR,Training set LOOCV n=120,Internal validation,Internal only,"Results, PDF p.6",
S017,Breast cancer vs healthy/benign controls,RBF SVM,AUC,0.972,NR,Blind held-out test n=162,Internal test,Internal only,"Results, PDF p.7",
S017,Breast cancer vs healthy/benign controls,RBF SVM,Sensitivity,0.9645,NR,Blind held-out test n=162,Internal test,Internal only,"Results, PDF p.7",
S017,Breast cancer vs healthy/benign controls,RBF SVM,Specificity,0.9487,NR,Blind held-out test n=162,Internal test,Internal only,"Results, PDF p.7",
S017,Breast cancer vs healthy/benign controls,RBF SVM,PPV,0.96,NR,Blind held-out test n=162,Internal test,Internal only,"Results, PDF p.7",
S018,Prostate cancer vs biopsy-negative non-PCa,181-peptide SVM,AUC,0.86,NR,Discovery cohort n=413,Cross-validation,Internal and external,"Results, PDF p.9",C=16; gamma=0.01.
S018,Prostate cancer vs biopsy-negative non-PCa,181-peptide SVM,AUC,0.81,0.77-0.85,First validation cohort n=410,Internal test,Internal and external,"Results, PDF p.9",Random same-center split.
S018,Prostate cancer vs biopsy-negative non-PCa,181-peptide SVM,Sensitivity,0.93,0.87-0.96,First validation cohort n=410,Internal test,Internal and external,"Results, PDF p.9",Cutoff 0.007.
S018,Prostate cancer vs biopsy-negative non-PCa,181-peptide SVM,Specificity,0.69,0.63-0.74,First validation cohort n=410,Internal test,Internal and external,"Results, PDF p.9",Cutoff 0.007.
S018,Prostate cancer detection,181-peptide SVM,Sensitivity,0.8367,NR,Independent Innsbruck cohort n=147 PCa only,External validation,Internal and external,"Results, PDF p.10",123/147; external cohort lacked non-PCa controls.
S019,Clinically significant vs insignificant prostate cancer,19-peptide SVM,AUC,0.803,0.73-0.86,Independent Innsbruck cohort n=147,External validation,External only,"Results, PDF p.3",Predefined cutoff -0.07.
S019,Clinically significant vs insignificant prostate cancer,19-peptide SVM,Sensitivity,0.875,NR,Independent Innsbruck cohort n=147,External validation,External only,"Results, PDF p.3",42/48 clinically significant cases.
S019,Clinically significant vs insignificant prostate cancer,19-peptide SVM,Specificity,0.646,NR,Independent Innsbruck cohort n=147,External validation,External only,"Results, PDF p.3",64/99 clinically insignificant cases.
S019,Clinically significant vs insignificant prostate cancer,19-peptide SVM,NPV,0.918,0.719-0.991,Independent Innsbruck cohort n=147,External validation,External only,"Results, PDF p.3",
S019,Clinically significant vs insignificant prostate cancer,19-peptide SVM,PPV,0.55,0.34-0.758,Independent Innsbruck cohort n=147,External validation,External only,"Results, PDF p.3",
S020,Breast cancer vs healthy controls,RBF SVM using 31 nucleosides,Sensitivity,0.8767,NR,Leave-one-out cross-validation n=212,Internal validation,Internal only,"Results, PDF pp.10-11",Scaling and parameter tuning were nested within each LOO fold.
S020,Breast cancer vs healthy controls,RBF SVM using 31 nucleosides,Specificity,0.899,NR,Leave-one-out cross-validation n=212,Internal validation,Internal only,"Results, PDF pp.10-11",
S020,Breast cancer vs healthy controls,RBF SVM with nested RFE-selected features,Sensitivity,0.8939,NR,Leave-one-out cross-validation n=212,Internal validation,Internal only,"Results, PDF pp.11-12",RFE repeated inside each training fold.
S020,Breast cancer vs healthy controls,RBF SVM with nested RFE-selected features,Specificity,0.8889,NR,Leave-one-out cross-validation n=212,Internal validation,Internal only,"Results, PDF pp.11-12",
S021,Early-stage ovarian cancer vs healthy controls,Linear SVM; 255 features,Accuracy,0.62,NR,Serum cohort n=95,Internal LOOCV,Internal only,"Results/Methods, PDF pp.1-5",Full filtered feature set.
S021,Early-stage ovarian cancer vs healthy controls,Linear SVM; 255 features,Sensitivity,0.67,NR,Serum cohort n=95,Internal LOOCV,Internal only,"Results/Methods, PDF pp.1-5",Full filtered feature set.
S021,Early-stage ovarian cancer vs healthy controls,Linear SVM; 255 features,Specificity,0.57,NR,Serum cohort n=95,Internal LOOCV,Internal only,"Results/Methods, PDF pp.1-5",Full filtered feature set.
S021,Early-stage ovarian cancer vs healthy controls,Linear SVM; 16 metabolites,Accuracy,1,NR,Serum cohort n=95,Internal LOOCV,Internal only,"Results/Methods, PDF pp.1-5",Perfect result; interpret cautiously.
S021,Early-stage ovarian cancer vs healthy controls,Linear SVM; 16 metabolites,Sensitivity,1,NR,Serum cohort n=95,Internal LOOCV,Internal only,"Results/Methods, PDF pp.1-5",Perfect result; interpret cautiously.
S021,Early-stage ovarian cancer vs healthy controls,Linear SVM; 16 metabolites,Specificity,1,NR,Serum cohort n=95,Internal LOOCV,Internal only,"Results/Methods, PDF pp.1-5",Perfect result; interpret cautiously.
S023,PDAC vs chronic pancreatitis,Linear SVM; combined 77 mRNA/miRNA markers,Accuracy,0.93,NR,Main PDAC-vs-CP cohort n=74,Repeated 10x10-fold CV,Internal only,"Abstract/Results/Methods, PDF pp.1,4-7,12-13",Feature selection was repeated within training folds.
S023,PDAC vs chronic pancreatitis,Linear SVM; combined 77 mRNA/miRNA markers,Sensitivity,0.917,NR,Main PDAC-vs-CP cohort n=74,Repeated 10x10-fold CV,Internal only,"Abstract/Results, PDF pp.1,4-7",Combined classifier.
S023,PDAC vs chronic pancreatitis,Linear SVM; combined 77 mRNA/miRNA markers,Specificity,0.945,NR,Main PDAC-vs-CP cohort n=74,Repeated 10x10-fold CV,Internal only,"Abstract/Results, PDF pp.1,4-7",Combined classifier.
S023,PDAC vs chronic pancreatitis,Linear SVM; miRNA-only model,Accuracy,0.75,NR,Main PDAC-vs-CP cohort n=74,Repeated 10x10-fold CV,Internal only,"Results, PDF pp.4-7",miRNA-only comparator.
S023,PDAC vs chronic pancreatitis,Linear SVM; miRNA-only model,Sensitivity,0.585,NR,Main PDAC-vs-CP cohort n=74,Repeated 10x10-fold CV,Internal only,"Results, PDF pp.4-7",miRNA-only comparator.
S023,PDAC vs chronic pancreatitis,Linear SVM; miRNA-only model,Specificity,0.883,NR,Main PDAC-vs-CP cohort n=74,Repeated 10x10-fold CV,Internal only,"Results, PDF pp.4-7",miRNA-only comparator.
S025,Ovarian cancer vs controls,Linear SVM,Accuracy,0.97,NR,Public ovarian SELDI dataset n=253,Stratified 10-fold CV,Internal only,"Results/Table, PDF pp.2-4",Best ovarian model.
S025,Ovarian cancer vs controls,Linear SVM,Sensitivity,0.99,NR,Public ovarian SELDI dataset n=253,Stratified 10-fold CV,Internal only,"Results/Table, PDF pp.2-4",Best ovarian model.
S025,Ovarian cancer vs controls,Linear SVM,Specificity,0.92,NR,Public ovarian SELDI dataset n=253,Stratified 10-fold CV,Internal only,"Results/Table, PDF pp.2-4",Best ovarian model.
S025,Ovarian cancer vs controls,Linear SVM,PPV,0.96,NR,Public ovarian SELDI dataset n=253,Stratified 10-fold CV,Internal only,"Results/Table, PDF pp.2-4",Best ovarian model.
S025,Ovarian cancer vs controls,Linear SVM,NPV,0.99,NR,Public ovarian SELDI dataset n=253,Stratified 10-fold CV,Internal only,"Results/Table, PDF pp.2-4",Best ovarian model.
S025,Prostate cancer vs controls,Polynomial SVM,Accuracy,0.82,NR,Public prostate SELDI dataset n=132,Stratified 10-fold CV,Internal only,"Results/Table, PDF pp.2-4",Best prostate model.
S025,Prostate cancer vs controls,Polynomial SVM,Sensitivity,0.79,NR,Public prostate SELDI dataset n=132,Stratified 10-fold CV,Internal only,"Results/Table, PDF pp.2-4",Best prostate model.
S025,Prostate cancer vs controls,Polynomial SVM,Specificity,0.87,NR,Public prostate SELDI dataset n=132,Stratified 10-fold CV,Internal only,"Results/Table, PDF pp.2-4",Best prostate model.
S025,Prostate cancer vs controls,Polynomial SVM,PPV,0.89,NR,Public prostate SELDI dataset n=132,Stratified 10-fold CV,Internal only,"Results/Table, PDF pp.2-4",Best prostate model.
S025,Prostate cancer vs controls,Polynomial SVM,NPV,0.81,NR,Public prostate SELDI dataset n=132,Stratified 10-fold CV,Internal only,"Results/Table, PDF pp.2-4",Best prostate model.
S027,ccRCC vs healthy controls,Coupled LASSO-SVM; 16 lipids,Accuracy,0.957,NR,Training/tuning cohort,Internal CV,Internal only,"Results, PDF pp.4-8",Training-side estimate.
S027,ccRCC vs healthy controls,Coupled LASSO-SVM; 16 lipids,Sensitivity,1,NR,Training/tuning cohort,Internal CV,Internal only,"Results, PDF pp.4-8",Text value.
S027,ccRCC vs healthy controls,Coupled LASSO-SVM; 16 lipids,Specificity,0.913,NR,Training/tuning cohort,Internal CV,Internal only,"Results, PDF pp.4-8",Text value.
S027,ccRCC vs healthy controls,Coupled LASSO-SVM; 16 lipids,AUC,0.9,NR,Held-out same-cohort test n=70,Internal test,Internal only,"Results, PDF pp.4-8",Not external.
S027,ccRCC vs healthy controls,Coupled LASSO-SVM; 16 lipids,Accuracy,0.771,NR,Held-out same-cohort test n=70,Internal test,Internal only,"Results, PDF pp.4-8",Not external.
S027,ccRCC vs healthy controls,Coupled LASSO-SVM; 16 lipids,Sensitivity,0.75,NR,Held-out same-cohort test n=70,Internal test,Internal only,"Results, PDF pp.4-8",Not external.
S027,ccRCC vs healthy controls,Coupled LASSO-SVM; 16 lipids,Specificity,1,NR,Held-out same-cohort test n=70,Internal test,Internal only,"Results, PDF pp.4-8",Not external.
S027,ccRCC vs healthy controls,Coupled LASSO-SVM; 7 lipids,AUC,0.95,NR,Training/tuning cohort,Internal CV,Internal only,"Results, PDF pp.4-8",High-confidence subpanel.
S027,ccRCC vs healthy controls,Coupled LASSO-SVM; 7 lipids,AUC,0.82,NR,Held-out same-cohort test n=70,Internal test,Internal only,"Results, PDF pp.4-8",High-confidence subpanel.
S027,ccRCC stage classification,SVM; 26 features,Accuracy,0.845,NR,Training/tuning stage cohort,Internal CV,Internal only,"Results, PDF pp.7-8",Stage task.
S027,ccRCC stage classification,SVM; 26 features,Accuracy,0.821,NR,Held-out stage-I test n=28,Internal test,Internal only,"Results, PDF pp.7-8",Selective stage-I test composition.
S028,CRC vs normal tissue,SVM,Accuracy,1,NR,TCGA-CRC n=695,Apparent/development,No validation,"Results/Table, PDF pp.5-6",No clear independent SVM test.
S028,CRC vs normal tissue,SVM,Accuracy,0.934,NR,GSE50760 n=54,Apparent/development,No validation,"Results/Table, PDF pp.5-6",No clear independent SVM test.
S029,Breast cancer vs healthy controls,SVM; four urinary metabolites,AUC,0.79,NR,Urine cohort n=100,Repeated internal test,Internal only,"Results/Figure 4, PDF pp.4-5",Repeated 80:20 splits.
S029,Breast cancer vs healthy controls,SVM; four urinary metabolites,Accuracy,0.7,Approximate from figure,Urine cohort n=100,Repeated internal test,Internal only,"Figure 4, PDF p.5",Approximate visual extraction.
S029,Breast cancer vs healthy controls,SVM; four urinary metabolites,Sensitivity,0.8,Approximate from figure,Urine cohort n=100,Repeated internal test,Internal only,"Figure 4, PDF p.5",Approximate visual extraction.
S029,Breast cancer vs healthy controls,SVM; four urinary metabolites,Specificity,0.6,Approximate from figure,Urine cohort n=100,Repeated internal test,Internal only,"Figure 4, PDF p.5",Approximate visual extraction.
S030,NSCLC vs healthy controls,SVM; 208 shared proteins,Accuracy,0.9375,NR,Serum cohort n=16,Internal 10-fold CV,Internal only,"Results, PDF pp.2-4",15 of 16 correctly classified.
S030,NSCLC vs healthy controls,SVM; 208 shared proteins,Sensitivity,0.875,NR,Serum cohort n=16,Internal 10-fold CV,Internal only,"Results, PDF pp.2-4",7 of 8 cancers correctly classified.
S030,NSCLC vs healthy controls,SVM; 208 shared proteins,Specificity,1,NR,Serum cohort n=16,Internal 10-fold CV,Internal only,"Results, PDF pp.2-4",8 of 8 controls correctly classified.
S031,Gastric cancer detection,SVM with DTWARP complete-linkage cluster features and InfoGain,AUC,0.716,0.708-0.724,139-subject breath cohort,Repeated internal resampling,Internal only,Table 3; Results PDF pp.11-12,Best coherent SVM feature set; Naive Bayes was better overall.
S031,Gastric cancer detection,SVM with DTWARP complete-linkage cluster features and InfoGain,Accuracy,0.7487,0.7416-0.7559,139-subject breath cohort,Repeated internal resampling,Internal only,Table 3; Results PDF pp.11-12,Best coherent SVM feature set; Naive Bayes was better overall.
S031,Gastric cancer detection,SVM with DTWARP complete-linkage cluster features and InfoGain,Sensitivity,0.6073,0.5931-0.6215,139-subject breath cohort,Repeated internal resampling,Internal only,Table 3; Results PDF pp.11-12,Best coherent SVM feature set; Naive Bayes was better overall.
S031,Gastric cancer detection,SVM with DTWARP complete-linkage cluster features and InfoGain,Specificity,0.8248,0.8166-0.8330,139-subject breath cohort,Repeated internal resampling,Internal only,Table 3; Results PDF pp.11-12,Best coherent SVM feature set; Naive Bayes was better overall.
S032,Bladder cancer detection,Three-exosomal-lncRNA RBF SVM,AUC,0.875,0.799-0.942,Combined 98-subject cohort,Internal LOOCV,Internal only,Figure 7; Results PDF pp.6-8,Second cohort was not a locked external SVM validation set.
S032,Bladder cancer detection,Three-exosomal-lncRNA RBF SVM,Accuracy,0.816,,Combined 98-subject cohort,Internal LOOCV,Internal only,Figure 7; Results PDF pp.6-8,Second cohort was not a locked external SVM validation set.
S032,Bladder cancer detection,Three-exosomal-lncRNA RBF SVM,Sensitivity,0.8,,Combined 98-subject cohort,Internal LOOCV,Internal only,Figure 7; Results PDF pp.6-8,Second cohort was not a locked external SVM validation set.
S032,Bladder cancer detection,Three-exosomal-lncRNA RBF SVM,Specificity,0.814,,Combined 98-subject cohort,Internal LOOCV,Internal only,Figure 7; Results PDF pp.6-8,Second cohort was not a locked external SVM validation set.
S034,Thyroid neoplasm versus healthy,Binary SVM,AUC,0.998,,Representative 60/40 split,Internal held-out validation,Internal only,Figure 2,Near-perfect result; global feature selection concern.
S034,Thyroid neoplasm versus healthy,Binary SVM,Accuracy,0.97,,Representative 60/40 split,Internal held-out validation,Internal only,Figure 2,
S034,Thyroid neoplasm versus healthy,Binary SVM,Accuracy,0.965,,1000 repeated 60/40 splits,Repeated internal resampling,Internal only,Results,Mean repeated-split accuracy.
S034,Four-class thyroid classification,One-vs-one multiclass SVM,Accuracy,0.805,,Representative 60/40 split,Internal held-out validation,Internal only,Figure 4,
S034,Four-class thyroid classification,One-vs-one multiclass SVM,Accuracy,0.639,,1000 repeated 60/40 splits,Repeated internal resampling,Internal only,Results,Mean repeated-split multiclass accuracy.
S035,Early-stage HCC detection,AdaBoost-RBF-SVM,AUC,0.992,,47-subject diagnostic cohort,Apparent all-cohort evaluation,Internal only,Figure 3; Results,"Reported after development split, but final evaluation included all diagnostic subjects."
S035,Early-stage HCC detection,AdaBoost-RBF-SVM,Accuracy,0.915,,47-subject diagnostic cohort,Apparent all-cohort evaluation,Internal only,Figure 3; Results,"Reported after development split, but final evaluation included all diagnostic subjects."
S035,Early-stage HCC detection,AdaBoost-RBF-SVM,Sensitivity,0.929,,47-subject diagnostic cohort,Apparent all-cohort evaluation,Internal only,Figure 3; Results,"Reported after development split, but final evaluation included all diagnostic subjects."
S035,Early-stage HCC detection,AdaBoost-RBF-SVM,Specificity,0.895,,47-subject diagnostic cohort,Apparent all-cohort evaluation,Internal only,Figure 3; Results,"Reported after development split, but final evaluation included all diagnostic subjects."
S036,Colon cancer versus normal,RBF SVM,Accuracy,0.9846,,TCGA-COAD task dataset,Repeated internal train-test evaluation,Internal only,Tables 3-4,Random Forest performed better for the main diagnostic task.
S036,Colon cancer versus normal,RBF SVM,Precision,0.945,,TCGA-COAD task dataset,Repeated internal train-test evaluation,Internal only,Tables 3-4,Random Forest performed better for the main diagnostic task.
S036,Colon cancer versus normal,RBF SVM,Sensitivity,0.9692,,TCGA-COAD task dataset,Repeated internal train-test evaluation,Internal only,Tables 3-4,Random Forest performed better for the main diagnostic task.
S036,Colon cancer versus normal,RBF SVM,F1,0.9529,,TCGA-COAD task dataset,Repeated internal train-test evaluation,Internal only,Tables 3-4,Random Forest performed better for the main diagnostic task.
S036,Colon cancer versus normal,RBF SVM,Specificity,0.9894,,TCGA-COAD task dataset,Repeated internal train-test evaluation,Internal only,Tables 3-4,Random Forest performed better for the main diagnostic task.
S036,Colon cancer versus normal,RBF SVM,AUC,0.9967,,TCGA-COAD task dataset,Repeated internal train-test evaluation,Internal only,Tables 3-4,Random Forest performed better for the main diagnostic task.
S036,Stage I-II versus III-IV,RBF SVM,Accuracy,0.6388,,TCGA-COAD task dataset,Repeated internal train-test evaluation,Internal only,Tables 3-4,Random Forest performed better for the main diagnostic task.
S036,Stage I-II versus III-IV,RBF SVM,Precision,0.5524,,TCGA-COAD task dataset,Repeated internal train-test evaluation,Internal only,Tables 3-4,Random Forest performed better for the main diagnostic task.
S036,Stage I-II versus III-IV,RBF SVM,Sensitivity,0.584,,TCGA-COAD task dataset,Repeated internal train-test evaluation,Internal only,Tables 3-4,Random Forest performed better for the main diagnostic task.
S036,Stage I-II versus III-IV,RBF SVM,F1,0.5356,,TCGA-COAD task dataset,Repeated internal train-test evaluation,Internal only,Tables 3-4,Random Forest performed better for the main diagnostic task.
S036,Stage I-II versus III-IV,RBF SVM,Specificity,0.501,,TCGA-COAD task dataset,Repeated internal train-test evaluation,Internal only,Tables 3-4,Random Forest performed better for the main diagnostic task.
S036,Stage I-II versus III-IV,RBF SVM,AUC,0.626,,TCGA-COAD task dataset,Repeated internal train-test evaluation,Internal only,Tables 3-4,Random Forest performed better for the main diagnostic task.
S036,Stage I versus II-III-IV,RBF SVM,Accuracy,0.6595,,TCGA-COAD task dataset,Repeated internal train-test evaluation,Internal only,Tables 3-4,Random Forest performed better for the main diagnostic task.
S036,Stage I versus II-III-IV,RBF SVM,Precision,0.6492,,TCGA-COAD task dataset,Repeated internal train-test evaluation,Internal only,Tables 3-4,Random Forest performed better for the main diagnostic task.
